id,cod_dep_inei,cod_prov_inei,cod_ubigeo_inei,desc_dep_inei,desc_prov_inei,desc_ubigeo_inei,cod_dep_reniec,cod_prov_reniec,cod_ubigeo_reniec,desc_dep_reniec,desc_prov_reniec,desc_ubigeo_reniec,cod_dep_sunat,cod_prov_sunat,cod_ubigeo_sunat,desc_dep_sunat,desc_prov_sunat,desc_ubigeo_sunat
1,01,0101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01,0101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01,0101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS
2,01,0101,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,01,0101,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,01,0101,010102,AMAZONAS,CHACHAPOYAS,ASUNCION
3,01,0101,010103,AMAZONAS,CHACHAPOYAS,BALSAS,01,0101,010103,AMAZONAS,CHACHAPOYAS,BALSAS,01,0101,010103,AMAZONAS,CHACHAPOYAS,BALSAS
4,01,0101,010104,AMAZONAS,CHACHAPOYAS,CHETO,01,0101,010104,AMAZONAS,CHACHAPOYAS,CHETO,01,0101,010104,AMAZONAS,CHACHAPOYAS,CHETO
5,01,0101,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01,0101,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,01,0101,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN
6,01,0101,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,01,0101,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,01,0101,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA
7,01,0101,010107,AMAZONAS,CHACHAPOYAS,GRANADA,01,0101,010107,AMAZONAS,CHACHAPOYAS,GRANADA,01,0101,010107,AMAZONAS,CHACHAPOYAS,GRANADA
8,01,0101,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,01,0101,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,01,0101,010108,AMAZONAS,CHACHAPOYAS,HUANCAS
9,01,0101,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,01,0101,010109,AMAZONAS,CHACHAPOYAS,LA JALCA,01,0101,010109,AMAZONAS,CHACHAPOYAS,LA JALCA
10,01,0101,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,01,0101,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,01,0101,010110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA
11,01,0101,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,01,0101,010111,AMAZONAS,CHACHAPOYAS,LEVANTO,01,0101,010111,AMAZONAS,CHACHAPOYAS,LEVANTO
12,01,0101,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,01,0101,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA,01,0101,010112,AMAZONAS,CHACHAPOYAS,MAGDALENA
13,01,0101,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,01,0101,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,01,0101,010113,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA
14,01,0101,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,01,0101,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,01,0101,010114,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA
15,01,0101,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,01,0101,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,01,0101,010115,AMAZONAS,CHACHAPOYAS,MONTEVIDEO
16,01,0101,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,01,0101,010116,AMAZONAS,CHACHAPOYAS,OLLEROS,01,0101,010116,AMAZONAS,CHACHAPOYAS,OLLEROS
17,01,0101,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,01,0101,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA,01,0101,010117,AMAZONAS,CHACHAPOYAS,QUINJALCA
18,01,0101,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,01,0101,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,01,0101,010118,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
19,01,0101,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,01,0101,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,01,0101,010119,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO
20,01,0101,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,01,0101,010120,AMAZONAS,CHACHAPOYAS,SOLOCO,01,0101,010120,AMAZONAS,CHACHAPOYAS,SOLOCO
21,01,0101,010121,AMAZONAS,CHACHAPOYAS,SONCHE,01,0101,010121,AMAZONAS,CHACHAPOYAS,SONCHE,01,0101,010121,AMAZONAS,CHACHAPOYAS,SONCHE
22,01,0102,010201,AMAZONAS,BAGUA,BAGUA,01,0102,010205,AMAZONAS,BAGUA,BAGUA,01,0102,010201,AMAZONAS,BAGUA,BAGUA
23,01,0102,010202,AMAZONAS,BAGUA,ARAMANGO,01,0102,010202,AMAZONAS,BAGUA,ARAMANGO,01,0102,010202,AMAZONAS,BAGUA,ARAMANGO
24,01,0102,010203,AMAZONAS,BAGUA,COPALLIN,01,0102,010203,AMAZONAS,BAGUA,COPALLIN,01,0102,010203,AMAZONAS,BAGUA,COPALLIN
25,01,0102,010204,AMAZONAS,BAGUA,EL PARCO,01,0102,010204,AMAZONAS,BAGUA,EL PARCO,01,0102,010204,AMAZONAS,BAGUA,EL PARCO
26,01,0102,010205,AMAZONAS,BAGUA,IMAZA,01,0102,010206,AMAZONAS,BAGUA,IMAZA,01,0102,010205,AMAZONAS,BAGUA,IMAZA
27,01,0102,010206,AMAZONAS,BAGUA,LA PECA,01,0102,010201,AMAZONAS,BAGUA,LA PECA,01,0102,010206,AMAZONAS,BAGUA,LA PECA
28,01,0103,010301,AMAZONAS,BONGARA,JUMBILLA,01,0103,010301,AMAZONAS,BONGARA,JUMBILLA,01,0103,010301,AMAZONAS,BONGARA,JUMBILLA
29,01,0103,010302,AMAZONAS,BONGARA,CHISQUILLA,01,0103,010304,AMAZONAS,BONGARA,CHISQUILLA,01,0103,010302,AMAZONAS,BONGARA,CHISQUILLA
30,01,0103,010303,AMAZONAS,BONGARA,CHURUJA,01,0103,010305,AMAZONAS,BONGARA,CHURUJA,01,0103,010303,AMAZONAS,BONGARA,CHURUJA
31,01,0103,010304,AMAZONAS,BONGARA,COROSHA,01,0103,010302,AMAZONAS,BONGARA,COROSHA,01,0103,010304,AMAZONAS,BONGARA,COROSHA
32,01,0103,010305,AMAZONAS,BONGARA,CUISPES,01,0103,010303,AMAZONAS,BONGARA,CUISPES,01,0103,010305,AMAZONAS,BONGARA,CUISPES
33,01,0103,010306,AMAZONAS,BONGARA,FLORIDA,01,0103,010306,AMAZONAS,BONGARA,FLORIDA,01,0103,010306,AMAZONAS,BONGARA,FLORIDA
34,01,0103,010307,AMAZONAS,BONGARA,JAZAN,01,0103,010312,AMAZONAS,BONGARA,JAZAN,01,0103,010307,AMAZONAS,BONGARA,JAZAN
35,01,0103,010308,AMAZONAS,BONGARA,RECTA,01,0103,010307,AMAZONAS,BONGARA,RECTA,01,0103,010308,AMAZONAS,BONGARA,RECTA
36,01,0103,010309,AMAZONAS,BONGARA,SAN CARLOS,01,0103,010308,AMAZONAS,BONGARA,SAN CARLOS,01,0103,010309,AMAZONAS,BONGARA,SAN CARLOS
37,01,0103,010310,AMAZONAS,BONGARA,SHIPASBAMBA,01,0103,010309,AMAZONAS,BONGARA,SHIPASBAMBA,01,0103,010310,AMAZONAS,BONGARA,SHIPASBAMBA
